step,episode,avg_reward,max_reward,loss
20480,72,22.22222,500.0,82.25142
40960,147,23.0,500.0,29.37186
61440,218,36.0,600.0,75.42781
81920,289,53.0,400.0,102.5106
102400,359,74.0,600.0,146.2258
122880,428,100.0,400.0,203.36693
143360,492,132.0,800.0,287.77558
163840,554,157.0,700.0,276.38971
184320,621,153.0,800.0,298.93047
204800,682,173.0,1200.0,292.3924
225280,746,218.0,1200.0,439.46248
245760,809,210.0,1400.0,468.73981
266240,867,293.0,1400.0,632.17856
286720,924,330.0,1400.0,684.31957
307200,982,329.0,1200.0,622.16263
327680,1034,334.0,1200.0,607.97007
348160,1084,401.0,1500.0,736.01242
368640,1143,354.0,1400.0,566.00679
389120,1191,367.0,1800.0,826.5384
409600,1246,451.0,1800.0,801.67424
430080,1296,451.0,1600.0,904.41455
450560,1349,418.0,1600.0,677.07232
471040,1399,388.0,1600.0,645.48037
491520,1445,429.0,1700.0,749.23228
512000,1496,463.0,1700.0,746.6752
532480,1549,431.0,1500.0,785.53958
552960,1597,415.0,1600.0,609.68459
573440,1640,494.0,1800.0,1008.90797
593920,1683,553.0,1900.0,768.86102
614400,1732,552.0,2600.0,843.38445
634880,1778,525.0,2600.0,735.14013
655360,1827,491.0,1900.0,859.40719
675840,1875,483.0,1800.0,779.23868
696320,1913,592.0,1800.0,1000.46599
716800,1961,581.0,1800.0,841.52996
737280,2008,521.0,2000.0,801.8631
757760,2056,520.0,2000.0,882.50025
778240,2099,581.0,2100.0,948.25997
798720,2145,550.0,2100.0,772.65873
819200,2191,519.0,2000.0,863.64795
839680,2236,508.0,1900.0,741.69015
860160,2284,467.0,1900.0,749.96433
880640,2326,516.0,1700.0,839.09971
901120,2368,506.0,1800.0,737.19016
921600,2413,547.0,1800.0,787.84888
942080,2457,491.0,1800.0,615.31749
962560,2503,472.0,2400.0,690.82315
983040,2543,496.0,2400.0,749.97033
1003520,2594,432.0,1300.0,550.15765
1024000,2641,421.0,1300.0,644.83869
1044480,2687,451.0,1400.0,634.39347
1064960,2735,424.0,1600.0,685.75484
1085440,2785,439.0,1600.0,696.43054
1105920,2829,492.0,1700.0,748.50466
1126400,2869,552.0,1800.0,842.30992
1146880,2914,533.0,1800.0,691.7076
1167360,2959,512.0,1800.0,686.63895
1187840,3002,493.0,1500.0,747.40063
1208320,3043,550.0,1800.0,878.82692
1228800,3088,559.0,1800.0,739.81356
1249280,3131,547.0,1800.0,784.98455
1269760,3176,505.0,1800.0,711.52666
1290240,3217,489.0,2000.0,699.16322
1310720,3261,487.0,2000.0,650.11912
1331200,3302,538.0,2000.0,827.49541
1351680,3346,576.0,1800.0,797.94524
1372160,3389,565.0,2400.0,779.70336
1392640,3434,527.0,2400.0,737.9852
1413120,3476,555.0,2400.0,947.52666
1433600,3519,560.0,2200.0,743.04205
1454080,3572,513.0,2100.0,844.49375
1474560,3618,533.0,2100.0,785.10346
1495040,3663,546.0,2000.0,931.38283
1515520,3716,545.0,3400.0,907.43831
1536000,3764,516.0,3400.0,783.60084
1556480,3813,478.0,2800.0,811.42231
1576960,3862,481.0,1400.0,790.35176
1597440,3908,528.0,2300.0,952.05035
1617920,3954,523.0,2300.0,778.47849
1638400,4000,483.0,1400.0,758.02281
1658880,4048,533.0,3700.0,787.16846
1679360,4094,536.0,3700.0,765.3857
1699840,4139,500.0,1600.0,791.03584
1720320,4186,515.0,2300.0,798.84972
